M,K,N,Data_Type,Baseline_m,Baseline_k,Baseline_n,Baseline_GOPS,Baseline_DDR_Bytes,Opt_m,Opt_k,Opt_n,Opt_GOPS,Opt_DDR_Bytes,Throughput_Speedup,DDR_Traffic_Reduction
2048,2048,512,bf16,32,32,32,974.209,270532608,32,64,64,926.256,144703488,0.95,1.87
2048,2048,1024,bf16,32,32,32,1360.64,541065216,32,16,128,989.262,281018368,0.73,1.93
2048,2048,2048,bf16,32,32,32,1379.65,1082130432,16,8,256,836.587,1090519040,0.61,0.99
2048,2048,4096,bf16,32,32,32,1723.9,2164260864,4,8,512,0.0,8615100416,0.0,0.25
2048,4096,128,bf16,32,32,32,0.0,134742016,32,128,16,0.0,84410368,0.0,1.6
2048,4096,256,bf16,32,32,32,967.291,269484032,32,128,32,937.221,152043520,0.97,1.77
2048,4096,512,bf16,32,32,32,1431.34,538968064,32,64,64,1140.18,287309824,0.8,1.88
2048,4096,1024,bf16,32,32,32,1504.97,1077936128,32,16,128,1073.02,557842432,0.71,1.93
2048,4096,2048,bf16,32,32,32,1643.28,2155872256,16,8,256,889.98,2172649472,0.54,0.99
2048,4096,4096,bf16,32,32,32,1979.59,4311744512,4,8,512,0.0,17213423616,0.0,0.25
4096,64,128,bf16,32,32,32,0.0,5242880,128,32,16,33.9257,2097152,0.0,2.5
4096,64,256,bf16,32,32,32,41.2813,10485760,128,16,32,68.3204,3670016,1.65,2.86
4096,64,512,bf16,32,32,32,81.5239,20971520,64,16,64,124.125,8912896,1.52,2.35
4096,64,1024,bf16,32,32,32,166.796,41943040,32,16,128,217.689,25690112,1.31,1.63
4096,64,2048,bf16,32,32,32,299.599,83886080,16,8,256,347.528,84410368,1.16,0.99
4096,64,4096,bf16,32,32,32,0.0,167772160,4,8,512,0.0,570949632,0.0,0.29
4096,128,128,bf16,32,32,32,0.0,9437184,128,32,16,60.6348,3145728,0.0,3.0
4096,128,256,bf16,32,32,32,84.4266,18874368,64,64,32,124.441,7340032,1.47,2.57
